id,name,address,contact_person,contact_number,email,created_at
1,Roomm,40343 Karstens Alley,Minnnie Guthrum,169-667-6754,mguthrum0@jimdo.com,9/17/2025
2,Feedbug,655 Holmberg Plaza,Nobe Muckle,174-702-6069,nmuckle1@vimeo.com,5/22/2025
3,Meetz,788 North Lane,Pooh Tebbs,540-904-3815,ptebbs2@virginia.edu,3/20/2025
4,Jatri,2573 Shopko Court,Homere Biaggioni,257-653-4531,hbiaggioni3@auda.org.au,7/22/2025
5,Feedbug,98613 Annamark Crossing,Domingo Durward,486-150-8192,ddurward4@soundcloud.com,07/11/2025
6,Oodoo,5 Brentwood Trail,Frankie Makey,519-481-9523,fmakey5@t.co,01/07/2025
7,Buzzshare,22 Forster Street,Meaghan Karby,396-181-1388,mkarby6@ebay.com,8/13/2025
8,Eayo,50327 Larry Point,Jannelle Toulamain,376-495-1831,jtoulamain7@slideshare.net,02/06/2025
9,Trudoo,995 Lerdahl Avenue,Horace Andreutti,102-298-0838,handreutti8@cnbc.com,5/14/2025
10,Devify,5169 Charing Cross Terrace,Roseline Titford,692-530-7116,rtitford9@pinterest.com,2/23/2025
11,Tagpad,09 Dapin Hill,Min Godleman,302-211-8149,mgodlemana@mapy.cz,1/18/2025
12,Brainverse,0086 Ronald Regan Terrace,Merilyn McGettigan,383-321-9550,mmcgettiganb@wikia.com,1/16/2025
13,Oyondu,9 Springs Park,Leighton Jeanet,819-577-5786,ljeanetc@i2i.jp,06/08/2025
14,Flashspan,63531 Stephen Court,Thurston Curzey,333-268-6345,tcurzeyd@reddit.com,12/17/2024
15,Jayo,793 Rutledge Court,Leslie Shire,904-575-7003,lshiree@angelfire.com,05/03/2025
16,Brainsphere,80397 Tennessee Alley,Layton Siverns,982-492-8395,lsivernsf@macromedia.com,5/25/2025
17,Edgeclub,4 Novick Center,Madelene Blune,110-690-7346,mbluneg@kickstarter.com,2/25/2025
18,Feedfish,341 Susan Pass,Zoe Seebert,499-835-8601,zseeberth@imageshack.us,7/28/2025
19,Miboo,1 Grayhawk Alley,Yoshiko Vassall,669-639-8304,yvassalli@cocolog-nifty.com,3/24/2025
20,Zoonder,07842 Ronald Regan Way,Lilian Vondrak,695-221-1500,lvondrakj@census.gov,7/13/2025
21,Photobug,1043 Southridge Street,Ronny Runnett,687-910-1283,rrunnettk@tinypic.com,01/08/2025
22,Jaxworks,93758 Spohn Road,Lissa Wagner,128-258-6653,lwagnerl@bravesites.com,12/23/2024
23,Abatz,885 Donald Alley,Shannah Jantot,849-253-3425,sjantotm@senate.gov,11/19/2025
24,Oyope,48 West Alley,Bettye Grigoire,662-535-7894,bgrigoiren@mlb.com,10/20/2025
25,Yozio,4 Little Fleur Way,Kendal Maiden,397-495-9733,kmaideno@nydailynews.com,8/25/2025
26,Skipfire,84 American Alley,Ezekiel Hughill,689-374-8426,ehughillp@163.com,3/30/2025
27,Zoonoodle,80 Mesta Parkway,Barbette Hutchens,710-993-6345,bhutchensq@ustream.tv,02/10/2025
28,Buzzbean,1292 Stuart Terrace,Griswold Hounsom,674-604-4903,ghounsomr@cbc.ca,2/22/2025
29,Rhynyx,90 Fairfield Center,Johnette Pestell,192-804-5153,jpestells@wisc.edu,04/02/2025
30,Brightbean,4880 Jackson Terrace,Lexy Phillput,890-183-6954,lphillputt@typepad.com,6/28/2025
31,Voomm,677 Loftsgordon Circle,Vinnie Biagini,491-368-3363,vbiaginiu@salon.com,4/15/2025
32,Realpoint,870 Eagle Crest Street,Rainer Eitter,251-672-5971,reitterv@ovh.net,10/18/2025
33,Minyx,77 Troy Center,Salvatore O' Timony,399-737-5584,sow@cbc.ca,2/26/2025
34,Brainverse,7 8th Hill,Leticia Putten,451-343-9441,lputtenx@hp.com,5/21/2025
35,Gigazoom,76 Vidon Plaza,Fiann Fellenor,963-411-8995,ffellenory@angelfire.com,02/05/2025
36,Brainverse,783 Dorton Park,Frankie Longworth,151-486-7668,flongworthz@pcworld.com,2/26/2025
37,Devpoint,07498 Schiller Place,Derek Guerola,764-926-3049,dguerola10@imdb.com,01/02/2025
38,Zoomcast,909 Northland Road,Jervis Halkyard,101-421-7913,jhalkyard11@acquirethisname.com,1/24/2025
39,Voonte,5002 Elka Center,Hatty Fredy,292-632-4772,hfredy12@amazon.de,09/07/2025
40,Twitternation,8 Elgar Trail,Reggy Pinwill,119-957-1100,rpinwill13@businessinsider.com,02/08/2025
41,Dabjam,22 Crowley Court,Winslow Merington,613-536-4336,wmerington14@jimdo.com,8/19/2025
42,Tagtune,82 Morning Crossing,Massimiliano Ander,285-509-1062,mander15@ft.com,12/13/2024
43,Topicstorm,29222 Miller Court,Adeline Pakes,489-418-2106,apakes16@skype.com,12/02/2024
44,Oba,18 Del Sol Lane,Lilas Slimme,618-241-8438,lslimme17@illinois.edu,11/06/2025
45,Edgewire,09 Helena Way,Lindsey Graalmans,378-645-1171,lgraalmans18@boston.com,12/19/2024
46,Skiptube,21 Hayes Park,Fernande Martonfi,963-482-9461,fmartonfi19@ovh.net,3/16/2025
47,Leenti,83555 Prentice Drive,Esdras Thames,965-891-8723,ethames1a@eventbrite.com,5/25/2025
