id,full_name,email,password,role,created_at
1,Jessika O' Mullane,jo0@themeforest.net,rH9?C'(7+H.g,Supply Chain Analyst,10/2/2025
2,Trenton Stollwerck,tstollwerck1@ca.gov,aR6)w#V?Er{,Purchasing Agent,8/14/2025
3,Lauralee MacCoveney,lmaccoveney2@dedecms.com,"cQ9.6lPHg|,",Inventory Control Specialist,8/22/2025
4,Carlina Flawith,cflawith3@cnet.com,aK6'jdvF,Account Manager,1/17/2025
5,Corney Chalfant,cchalfant4@intel.com,kU5?.nnzNcDA1,Purchasing Agent,5/8/2025
6,Cole Randle,crandle5@sina.com.cn,hP2\{ULK7'D,Inventory Control Specialist,12/21/2024
7,Friederike Gregon,fgregon6@hibu.com,iU3&V_e)7,Purchasing Agent,7/23/2025
8,Moe felip,mfelip7@wufoo.com,cA2&<t\M+gC,Customer Service Specialist,11/4/2025
9,Free Speller,fspeller8@yellowbook.com,uO1)*m3G}g,Sales Representative,4/30/2025
10,Creighton Gidney,cgidney9@behance.net,dZ3`=>_NX,Product Development Manager,4/10/2025
